skill,description,foundational_source,foundational_url,foundational_authors,course_sources,course_urls,course_instructors,confidence,contribution_scope,notes
abuseipdb-api,AbuseIPDB API reference for IP reputation lookups.,AbuseIPDB API documentation,https://docs.abuseipdb.com/,Marathon Studios Inc.,,,,HIGH,Data/API provider,Vendor API reference; no course attribution applicable.
censys-api,Censys API v2 reference for host + certificate reconnaissance.,Censys Search API v2 documentation,https://docs.censys.com/,"Censys, Inc. (originated University of Michigan; Zakir Durumeric et al.)",,,,HIGH,Data/API provider,"Censys originated as research project at U-Michigan; Durumeric, Adrian, Mirian, Bailey, Halderman."
greynoise-api,GreyNoise API reference for internet scanner classification.,GreyNoise Intelligence API documentation,https://docs.greynoise.io/,GreyNoise Intelligence (founder Andrew Morris),,,,HIGH,Data/API provider,Vendor API reference.
otx-api,AlienVault OTX API reference for community pulse lookups.,AlienVault OTX API documentation,https://otx.alienvault.com/api,AT&T Cybersecurity / LevelBlue (originally AlienVault),,,,HIGH,Data/API provider,Originally AlienVault; now LevelBlue.
shodan-api,Shodan API reference for host reconnaissance.,Shodan Developer API documentation,https://developer.shodan.io/,Shodan LLC (founder John Matherly),,,,HIGH,Data/API provider,Vendor API reference.
urlscan-api,urlscan.io API reference for URL submission and scan retrieval.,urlscan.io API documentation,https://urlscan.io/docs/api/,urlscan.io GmbH (Johannes Gilger),,,,HIGH,Data/API provider,Vendor API reference.
virustotal-api,VirusTotal API v3 reference for file/IP/domain/URL analysis.,VirusTotal API v3 documentation,https://docs.virustotal.com/,VirusTotal / Google (founders Bernardo Quintero et al.),,,,HIGH,Data/API provider,VirusTotal acquired by Google in 2012.
lookup-abuseipdb,Wrapper skill for AbuseIPDB IP-abuse lookups.,AbuseIPDB API,https://www.abuseipdb.com/,Marathon Studios Inc.,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,Synthesis (when to chain with other lookups) shaped by practitioner courses.
lookup-censys,Wrapper skill for Censys host + certificate lookups.,Censys Search API v2,https://search.censys.io/,"Censys, Inc.",AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,
lookup-greynoise,Wrapper skill for GreyNoise scanner classification.,GreyNoise Intelligence API,https://www.greynoise.io/,GreyNoise Intelligence,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,
